Num scan;Nom du Locator;X;Y;Z;% NORD;Plancher
3135;R220b_05;-0.646625;-16.855281;1.650;50;PLANCHER 02 (+00.00m)
3136;R220b_06;2.024678;-16.909429;1.650;50;PLANCHER 02 (+00.00m)
3137;R220a_01;6.804601;-15.050857;1.650;50;PLANCHER 02 (+00.00m)
3138;R220a_02;8.584220;-13.985282;1.650;50;PLANCHER 02 (+00.00m)
3139;R220a_03;10.572560;-12.568178;1.650;50;PLANCHER 02 (+00.00m)
3140;R220a_04;12.252022;-11.016754;1.650;50;PLANCHER 02 (+00.00m)
3141;R220a_05;14.129539;-8.439146;1.650;50;PLANCHER 02 (+00.00m)
3142;R220a_06;15.489557;-5.915254;1.650;50;PLANCHER 02 (+00.00m)
3143;R220a_07;17.387655;-4.416755;1.650;50;PLANCHER 02 (+00.00m)
3144;R230a_08;-16.347432;4.508164;1.650;50;PLANCHER 02 (+00.00m)
3145;R220a_08;15.823042;-2.247234;1.650;50;PLANCHER 02 (+00.00m)
3146;R220a_09;16.598460;0.068950;1.650;50;PLANCHER 02 (+00.00m)
3147;R220a_10;16.544712;2.898324;1.650;50;PLANCHER 02 (+00.00m)
3148;R210b_01;15.978764;5.308491;1.650;50;PLANCHER 02 (+00.00m)
3149;R210b_02;14.668492;7.372027;1.650;50;PLANCHER 02 (+00.00m)
3150;R210b_03;14.193076;8.680309;1.650;50;PLANCHER 02 (+00.00m)
3151;R210b_04;12.999151;10.503292;1.650;50;PLANCHER 02 (+00.00m)
3152;R210b_05;11.355899;12.313436;1.650;50;PLANCHER 02 (+00.00m)
3153;R220a_11;17.798991;0.084755;1.650;50;PLANCHER 02 (+00.00m)
3154;R247_01;-14.125511;4.683237;1.650;50;PLANCHER 02 (+00.00m)
3155;R247_02;-12.743539;3.789366;1.650;50;PLANCHER 02 (+00.00m)
3156;R247_03;-8.354348;3.061402;1.650;50;PLANCHER 02 (+00.00m)
3157;R247_04;-6.834188;3.232688;1.650;50;PLANCHER 02 (+00.00m)
3158;R247_05;-8.204473;5.309525;1.650;50;PLANCHER 02 (+00.00m)
3159;R247_06;-11.223380;7.878808;1.650;50;PLANCHER 02 (+00.00m)
3160;R247_07;-6.754311;0.744055;1.650;50;PLANCHER 02 (+00.00m)
3161;R247_08;-7.467790;-3.629642;1.650;50;PLANCHER 02 (+00.00m)
3162;R247_09;-9.457149;-3.202607;1.650;50;PLANCHER 02 (+00.00m)
3163;R247_10;-12.383901;-4.410804;1.650;50;PLANCHER 02 (+00.00m)
3164;R247_11;-10.144571;-5.504430;1.650;50;PLANCHER 02 (+00.00m)
3165;R247_12;-13.958800;-2.834166;1.650;50;PLANCHER 02 (+00.00m)
3166;R247_13;-13.009598;-6.937637;1.650;50;PLANCHER 02 (+00.00m)
3167;R230a_09;-16.441326;-6.601765;1.650;50;PLANCHER 02 (+00.00m)
3168;R247_14;-14.494501;1.514477;1.650;50;PLANCHER 02 (+00.00m)
3169;R247_15;-10.622477;1.010426;1.650;50;PLANCHER 02 (+00.00m)
3170;R247_16;-9.468128;-0.775426;1.650;50;PLANCHER 02 (+00.00m)
4117;R223_01;6.925619;0.508701;1.650;50;PLANCHER 02 (+00.00m)
4118;R221_01;9.586086;2.165839;1.650;50;PLANCHER 02 (+00.00m)
4119;R221_02;11.742595;3.521843;1.650;50;PLANCHER 02 (+00.00m)
4120;R221_03;14.032448;3.850593;1.650;50;PLANCHER 02 (+00.00m)
4121;R221_04;13.536694;5.833608;1.650;50;PLANCHER 02 (+00.00m)
4122;R221_05;12.706670;6.414233;1.650;50;PLANCHER 02 (+00.00m)
4123;R223_02;5.964903;2.716293;1.650;50;PLANCHER 02 (+00.00m)
4124;R213_06;4.112649;4.703607;1.650;50;PLANCHER 02 (+00.00m)
4125;R213_07;0.967196;6.573731;1.650;50;PLANCHER 02 (+00.00m)
4126;R247_17;-11.540804;9.556169;1.650;50;PLANCHER 02 (+00.00m)
4127;R211_04;-8.658091;8.575596;1.650;50;PLANCHER 02 (+00.00m)
4128;R211_05;-6.535134;5.970399;1.650;50;PLANCHER 02 (+00.00m)
4129;R211_06;-5.532876;8.815264;1.650;50;PLANCHER 02 (+00.00m)
4130;R211_07;-4.547178;7.118088;1.650;50;PLANCHER 02 (+00.00m)
4131;R213_08;-3.152685;5.651429;1.650;50;PLANCHER 02 (+00.00m)
4132;R213_09;-0.621447;6.686096;1.650;50;PLANCHER 02 (+00.00m)
4133;R213_10;-4.465513;3.671389;1.650;50;PLANCHER 02 (+00.00m)
4134;R233_01;-5.931737;-3.057090;1.650;50;PLANCHER 02 (+00.00m)
4135;R233_02;-4.517888;-5.041737;1.650;50;PLANCHER 02 (+00.00m)
4136;R233_03;-4.107712;-5.688075;1.650;50;PLANCHER 02 (+00.00m)
4137;R233_04;-3.207089;-5.998996;1.650;50;PLANCHER 02 (+00.00m)
4138;R231_01;-4.022355;-7.263684;1.650;50;PLANCHER 02 (+00.00m)
4139;R233_05;-1.553722;-6.092910;1.650;50;PLANCHER 02 (+00.00m)
4140;R223_03;1.562780;-6.240611;1.650;50;PLANCHER 02 (+00.00m)
4141;R223_04;4.905931;-4.304544;1.650;50;PLANCHER 02 (+00.00m)
4142;R223_05;6.459724;-1.967100;1.650;50;PLANCHER 02 (+00.00m)
4143;R223_06;4.007734;-5.769050;1.650;50;PLANCHER 02 (+00.00m)
4144;R222_01;12.392052;-4.699871;1.650;50;PLANCHER 02 (+00.00m)
4145;R222_02;10.321927;-3.731441;1.650;50;PLANCHER 02 (+00.00m)
4146;R223_07;9.304921;-6.266991;1.650;50;PLANCHER 02 (+00.00m)
4147;R223_08;12.453461;-7.465108;1.650;50;PLANCHER 02 (+00.00m)
4148;R233_06;-5.670598;-0.348550;1.650;50;PLANCHER 02 (+00.00m)
4180;R233_07;-3.625835;-5.586493;1.650;50;PLANCHER 02 (+00.00m)
4181;R231_02;-3.115073;-9.065554;1.650;50;PLANCHER 02 (+00.00m)
4182;R231_03;-3.074335;-11.225922;1.650;50;PLANCHER 02 (+00.00m)
4183;R231_04;-3.029449;-13.395381;1.650;50;PLANCHER 02 (+00.00m)
4184;R231_05;-5.957737;-7.855299;1.650;50;PLANCHER 02 (+00.00m)
4185;R231_06;-7.917301;-9.217892;1.650;50;PLANCHER 02 (+00.00m)
4186;R231_07;-8.756252;-10.990513;1.650;50;PLANCHER 02 (+00.00m)
4187;R222_03;8.520190;-2.866002;1.650;50;PLANCHER 02 (+00.00m)
4188;R241_01;12.021287;7.604329;1.200;50;PLANCHER 02 (+00.00m)
4189;R221_06;14.112914;-2.043634;1.650;50;PLANCHER 02 (+00.00m)
4190;R221_07;12.832611;-2.349472;1.650;50;PLANCHER 02 (+00.00m)
1056;R312_01;0.340329;13.706596;5.650;50;PLANCHER 03 (+04.00m)
1057;R312_02;-0.043684;11.402518;5.650;50;PLANCHER 03 (+04.00m)
1058;R312_03;-0.565922;8.582249;5.650;50;PLANCHER 03 (+04.00m)
1059;R312_04;1.231750;11.092207;5.650;50;PLANCHER 03 (+04.00m)
1060;R313_01;-0.226739;6.021414;5.650;50;PLANCHER 03 (+04.00m)
1061;R312_05;-3.005719;10.185086;5.650;50;PLANCHER 03 (+04.00m)
1062;R312_06;-2.673290;11.983323;5.650;50;PLANCHER 03 (+04.00m)
1063;R311_01;-5.471785;12.549203;5.650;50;PLANCHER 03 (+04.00m)
1064;R311_02;-8.500681;10.866012;5.650;50;PLANCHER 03 (+04.00m)
1065;R311_03;-7.773568;8.579832;5.650;50;PLANCHER 03 (+04.00m)
1066;R313_02;-4.647046;5.552476;5.650;50;PLANCHER 03 (+04.00m)
1067;R313_03;-2.693060;4.878688;5.650;50;PLANCHER 03 (+04.00m)
1068;R311_04;-5.578347;7.898788;5.650;50;PLANCHER 03 (+04.00m)
1069;R313_04;2.544316;4.709585;5.650;50;PLANCHER 03 (+04.00m)
1070;R313_05;-4.948965;2.779568;5.650;50;PLANCHER 03 (+04.00m)
2024;R330a_01;-16.135648;-7.891991;5.650;50;PLANCHER 03 (+04.00m)
2025;R330a_02;-16.708398;-2.960754;5.650;50;PLANCHER 03 (+04.00m)
2026;R330a_03;-13.678114;-9.536623;5.650;50;PLANCHER 03 (+04.00m)
2027;R330a_04;-12.873797;-11.172479;5.650;50;PLANCHER 03 (+04.00m)
2028;R330a_05;-10.971446;-12.834938;5.650;50;PLANCHER 03 (+04.00m)
2029;R330a_06;-9.465982;-13.971416;5.650;50;PLANCHER 03 (+04.00m)
2030;R330a_07;-7.266823;-15.270248;5.650;50;PLANCHER 03 (+04.00m)
2031;R330a_08;-5.864674;-15.993462;5.650;50;PLANCHER 03 (+04.00m)
2032;R320b_01;-3.819158;-16.567554;5.650;50;PLANCHER 03 (+04.00m)
2033;R330a_09;-15.461381;-4.404808;5.650;50;PLANCHER 03 (+04.00m)
2034;R347_01;-13.520721;-3.453809;5.650;50;PLANCHER 03 (+04.00m)
2035;R320b_02;-0.916275;-16.961775;5.650;50;PLANCHER 03 (+04.00m)
2036;R320b_03;3.051017;-16.530433;5.650;50;PLANCHER 03 (+04.00m)
2045;R345_01;3.624428;-8.549177;5.650;50;PLANCHER 03 (+04.00m)
2046;R345_02;3.733460;-11.155053;5.650;50;PLANCHER 03 (+04.00m)
2101;R341_01;12.007669;6.970036;5.650;50;PLANCHER 03 (+04.00m)
2102;R341_02;13.271584;6.103857;5.650;50;PLANCHER 03 (+04.00m)
2103;R341_03;9.599535;5.281623;5.650;50;PLANCHER 03 (+04.00m)
2104;R341_04;10.306201;8.305495;5.650;50;PLANCHER 03 (+04.00m)
2105;R341_05;8.629924;9.948904;5.650;50;PLANCHER 03 (+04.00m)
2106;R341_06;6.723569;8.075418;5.650;50;PLANCHER 03 (+04.00m)
2107;R341_07;5.984035;4.788600;5.650;50;PLANCHER 03 (+04.00m)
2108;R348_01;3.666829;7.056504;5.250;50;PLANCHER 03 (+04.00m)
2109;R348_02;4.702176;8.519138;5.250;50;PLANCHER 03 (+04.00m)
2111;R346_01;-0.960910;-8.447041;5.650;50;PLANCHER 03 (+04.00m)
2112;R346_02;0.858355;-8.497576;5.650;50;PLANCHER 03 (+04.00m)
2113;R346_03;0.681482;-11.933965;5.650;50;PLANCHER 03 (+04.00m)
2114;R346_04;2.349141;-13.475286;5.650;50;PLANCHER 03 (+04.00m)
3014;R310a_01;10.844891;13.043995;5.650;50;PLANCHER 03 (+04.00m)
3015;R310b_01;12.281352;11.427976;5.650;50;PLANCHER 03 (+04.00m)
3016;R310b_02;13.645991;9.578532;5.650;50;PLANCHER 03 (+04.00m)
3017;R310b_03;14.992673;7.316105;5.650;50;PLANCHER 03 (+04.00m)
3018;R310b_04;16.177754;4.963899;5.650;50;PLANCHER 03 (+04.00m)
3019;R320a_01;17.523256;4.002184;5.650;50;PLANCHER 03 (+04.00m)
3020;R320a_02;16.567167;3.125769;5.650;50;PLANCHER 03 (+04.00m)
3021;R320a_03;16.551232;1.357004;5.650;50;PLANCHER 03 (+04.00m)
3022;R320a_04;16.567167;-0.587044;5.650;50;PLANCHER 03 (+04.00m)
3023;R320a_05;16.594835;-2.098839;5.650;50;PLANCHER 03 (+04.00m)
3024;R320a_06;17.615672;-3.003009;5.650;50;PLANCHER 03 (+04.00m)
3025;R320a_07;16.229221;-5.197771;5.650;50;PLANCHER 03 (+04.00m)
3026;R320a_08;15.503365;-7.312222;5.650;50;PLANCHER 03 (+04.00m)
3027;R320a_09;13.492119;-8.912936;5.650;50;PLANCHER 03 (+04.00m)
3028;R320a_10;12.710737;-11.386797;5.650;50;PLANCHER 03 (+04.00m)
3029;R320a_11;11.357456;-12.840322;5.650;50;PLANCHER 03 (+04.00m)
3030;R320a_12;9.085436;-14.386651;5.650;50;PLANCHER 03 (+04.00m)
3031;R320a_13;6.326495;-15.828825;5.650;50;PLANCHER 03 (+04.00m)
3110;R310a_02;-6.881973;15.406087;5.650;50;PLANCHER 03 (+04.00m)
3111;R310a_03;-4.696515;16.155052;5.650;50;PLANCHER 03 (+04.00m)
3112;R310a_04;-2.791516;16.690844;5.650;50;PLANCHER 03 (+04.00m)
3113;R310a_05;-0.474601;16.915255;5.650;50;PLANCHER 03 (+04.00m)
3114;R310a_06;1.571742;16.832814;5.650;50;PLANCHER 03 (+04.00m)
3115;R310a_07;3.594544;16.531773;5.650;50;PLANCHER 03 (+04.00m)
3116;R310a_08;5.607915;15.906060;5.650;50;PLANCHER 03 (+04.00m)
3117;R310a_09;7.313633;15.141427;5.650;50;PLANCHER 03 (+04.00m)
3118;R310a_10;9.097774;14.141524;5.650;50;PLANCHER 03 (+04.00m)
3207;R313_06;4.787978;-3.699862;5.650;50;PLANCHER 03 (+04.00m)
3208;R313_07;2.574475;-5.556348;5.650;50;PLANCHER 03 (+04.00m)
3209;R313_08;1.135463;-5.586043;5.650;50;PLANCHER 03 (+04.00m)
