Num scan;Locator;X;Y;Z;Delta;Hauteur/cm;Zcorrige;% NORD;PlancherMS
1064;R311_02;-8.501;10.866;4.000;;165.000;5.650;50;PLANCHER 03 (+04.00m)
1065;R311_03;-7.774;8.580;4.000;;165.000;5.650;50;PLANCHER 03 (+04.00m)
1066;R313_02;-4.647;5.552;4.000;;165.000;5.650;50;PLANCHER 03 (+04.00m)
1067;R313_03;-2.693;4.879;4.000;;165.000;5.650;50;PLANCHER 03 (+04.00m)
1068;R311_04;-5.578;7.899;4.000;;165.000;5.650;50;PLANCHER 03 (+04.00m)
1069;R313_04;2.544;4.710;4.000;;165.000;5.650;50;PLANCHER 03 (+04.00m)
1070;R313_05;-4.949;2.780;4.000;;165.000;5.650;50;PLANCHER 03 (+04.00m)
2024;R330a_01;-16.136;-7.892;4.000;;165.000;5.650;50;PLANCHER 03 (+04.00m)
2025;R330a_02;-16.708;-2.961;4.000;;165.000;5.650;50;PLANCHER 03 (+04.00m)
2026;R330a_03;-13.678;-9.537;4.000;;165.000;5.650;50;PLANCHER 03 (+04.00m)
2027;R330a_04;-12.874;-11.172;4.000;;165.000;5.650;50;PLANCHER 03 (+04.00m)
2028;R330a_05;-10.971;-12.835;4.000;;165.000;5.650;50;PLANCHER 03 (+04.00m)
2029;R330a_06;-9.466;-13.971;4.000;;165.000;5.650;50;PLANCHER 03 (+04.00m)
2030;R330a_07;-7.267;-15.270;4.000;;165.000;5.650;50;PLANCHER 03 (+04.00m)
2031;R330a_08;-5.865;-15.993;4.000;;165.000;5.650;50;PLANCHER 03 (+04.00m)
